%WER = 25.35
Errors: 101 insertions, 717 deletions, 781 substitutions, over 6307 reference words (4809 correct)
Search below for sections starting with PER-UTT DETAILS:, SUBSTITUTIONS:, DELETIONS:, INSERTIONS:, PER-WORD STATS:

PER-UTT DETAILS: corr or (ref->hyp)  
1682990149.6027413-split_v1-483200-674250_11617-11617:	(rồi vầng->dạ)
1685432330.8171534-split_v1-0-441290_17314-17314:	a lô em chào (anh->*) em bên bưu điện hà nội thẻ bảo hiểm y tế của mình đã đóng tiếp và được cập nhật lên chương trình (rồi->thì) em báo để mình yên tâm sử dụng giúp em nhá (của chu văn nguyện->hoặc là mêu) ý
1685433407.8176123_18543-18543:	(nếu không->số) thì em chuyển cho địa chỉ cho anh bởi vì anh (đi làm->như nào) thường sáng đi tối anh mới về
1685434531.8181406-split_v1-0-566410_781-781:	anh ơi cái cái (cái->*) đơn hàng (đấy->đây) của ai vậy ạ của tên là anh nguyễn (nhu nguyên->nhuy nguyễn) nguyên (nguyên->*) nhu ở một hai ba (nguyễn phong sắc->*)
1685434531.8181406-split_v1-3408000-3841290_811-811:	bác (này->ấy) bác ngô đình (nhu đấy à->nhung ấy)
1685435738.8185785_19404-19404:	mùng hai chị ạ
1685435891.8186574_21015-21015:	mình mình (chuyển->sửa) chuyển (chuyển->*) chỗ rồi nhớ bạn (nhớ->*)
1685436821.8190596-split_v1-480000-957770_16762-16762:	rồi rồi ok bạn không (thì->được) bạn (cứ->phú) bảo gửi (gửi cái->cho) bạn ở dưới (quầy->quê) lễ tân cho mình (nhé->*)
1685437750.8194303_21160-21160:	dạ rồi cho em mã vận đơn xê (xê->*) năm bốn ba
1685503933.8236500-split_v1-0-720010_11621-11621:	vầng anh ơi em có một đơn của anh (đặng sam->xem)
1685524235.8278266-split_v1-0-825610_15527-15527:	bưu tá em không thấy có cuộc gọi (nhỡ->*) nào (cả->hả)
1685524871.8280336_28390-28390:	anh ơi em ở bưu điện hoài đức ạ anh sơn phải không ạ
1685585515.8305162_20806-20806:	nhầm rồi em (nhớ->nhở)
1685587131.8309309-split_v1-0-489610_1578-1578:	a lô
1685592081.8325249-split_v1-1177600-1920010_17633-17633:	(thế->thì) bà ổn chưa (bà->mã) ổn chưa em
1685601210.8335461-split_v1-0-496010_5259-5259:	em (biết em->nghe) địa chỉ của em là mười ba trên ba sáu (đống->đóng) đa thành phố huế
1685603575.8339630_26644-26644:	thế phải sang (tuần->tên) sau (mới->mình) lấy được hàng (à->ạ)
1685605500.8344801-split_v1-1100800-1353930_1263-1263:	dạ (vâng->vầng) trong ngày mai (được->đúng) không ạ
1685608997.8359771-split_v1-0-496010_17448-17448:	a lô
1685668541.8389883_25695-25695:	a lô
1685669498.8391362-split_v1-1654400-2050249_7685-7685:	cái này (thì->*) phải (phải->*) theo mã của của (của->*) trên (app ý->appe)
1685672220.8395966-split_v1-556800-1040010_16315-16315:	(chả->thế thì được) có ai
1685675173.8403463_23036-23036:	(vê->*) một a không ba vâng vê một a không ba khu đô thị (an hưng->văn hương)
1685693993.8435102-split_v1-0-544010_10597-10597:	không không (không->*) sao (vì cái chung cư nó rất là an->bên chị cũng không thấy gửi hoàn) toàn (chị ơi đợi em tý->*)
1685694008.8435159_26964-26964:	(cảm ơn em->*)
1685696087.8440840_27589-27589:	(lấy cái->ngày) chứng minh thư
1685699631.8450947_23492-23492:	bạn ơi cho mình hỏi số điện thoại của bạn lưu ở chỗ tổ dân phố quang minh (dương nội đúng->dinh thạ) không ạ
1685700777.8453049-split_v1-480000-1065610_14760-14760:	(đã dùng->đúng) đâu (mà biết kém hay->viết cái) không kém (hay->*) là hay là em mở ra nó (thơm thơm->thôn) không (hay->hai) là nó (nó đặc->đã) không thì (thì->*) anh lấy (dạ->*) sao ạ
1685701176.8453771-split_v1-0-496010_11352-11352:	khách hàng khách từ chối nhận hàng ạ
1685702127.8455307-split_v1-1014400-1606410_3966-3966:	không (thì->lấy) chị chuyển tiếp cho em về hà nội được không
1685759850.8468124_25927-25927:	(a lô a lô ạ nhà mình có ai->lộ hai) là lê quang huy không có (vầng->vâng)
1685765812.8483918-split_v1-1008000-1090250_1303-1303:	(ô kê ô kê->ok) cảm ơn nhá
1685774176.8488865-split_v1-0-480010_11517-11517:	(mất điện->có thiện) rồi
1685774176.8488865-split_v1-3824000-4500490_11560-11560:	thế (con học->cô đơn) cô (nhàn thế con học vẽ->với) à
1685777653.8492170-split_v1-0-499210_5417-5417:	sao lại đem ra là như thế nào chị bên bưu điện mà
1685777653.8492170-split_v1-3558400-4400010_5461-5461:	(hàng nặng->hằng) quá thì chị (ý->*) chở (sao->xuống) được thì ở (bên->trên) chị sẽ điều (xe cho->tra giúp) em thôi
1685781616.8501166-split_v1-499200-1180810_5774-5774:	có gì làm sự vụ giúp chúng em (nhớ rồi ok chị->nhá vầng) nhá (vâng->vầng) bởi vì số này là cái số ấy thì (là->*) gọi lại sợ không gặp em (ấy->ý) thế thì (chị đọc->báo) cho em số điện thoại của chị đi có gì em gọi lại cho chị không chín không một (bảy sáu sáu->*)
1685933794.8542190-split_v1-0-480010_8351-8351:	a lô ạ (bạn->em) xử lý hộ tớ đơn hàng với bạn có gửi trang ở (ninh hiệp->nông nghiệp) một gói hàng cái này khách hàng từ chối không nhận hàng đâu nhá bạn nhá
1685934297.8543540_21457-21457:	vầng ạ mình có đặt đơn hàng (giày->giê) trị giá một trăm chín mươi lăm nghìn ý hôm nay anh nhận được không để em báo bưu (tá->*) em giao
1685935366.8547228-split_v1-505600-1011210_3458-3458:	(à->*) chị ở tòa chung cư
1685936412.8550115-split_v1-585600-1116810_6512-6512:	(thế->*) chiều nay chị có ở đấy không thì để các bạn ấy phát lại cho chị
1685937964.8555570-split_v1-0-410570_15952-15952:	(chiều->kìa)
1685951409.8574451-split_v1-598400-1296010_15774-15774:	lúc đấy mình làm nhân viên gì ý ạ
1685954013.8583706-split_v1-0-518410_15915-15915:	vầng ngày mai (chị->chỉ) có (ở->*) đấy (để->thì) chị nhận không chị nhở
1686019894.8622111-split_v1-0-486410_2994-2994:	em bên bưu điện mình có cái đơn hàng điện thoại (cũ->cứ) không biết địa chỉ nhận hàng của mình (ở->*) đâu đấy ạ
1686024444.8637172_18317-18317:	(ai đấy ạ->thế à) vầng anh ơi em ở bưu (điện đan phượng ạ->điệnk an phường à) anh có đặt đơn hàng là bốn trăm năm mươi nghìn ý thì anh có đồng ý nhận lại không để em (cho->sẽ) bưu tá phát lại ạ
1686034803.8644421-split_v1-0-528010_8362-8362:	đâu (bưu tá->không ta) đâu đây (làm->*) sao (lại->đấy) không gọi (được->*) số (này nhỉ->*) a lô
1686036966.8649572_24579-24579:	a lô
1686041268.8663167-split_v1-796800-1436810_15409-15409:	(đúng rồi->của)
1686106232.8690842-split_v1-0-496010_6444-6444:	anh ở bên bưu điện ạ
1686106244.8690877-split_v1-0-537610_15003-15003:	(ò->*) phát (mấy->minh) ngày hôm nay luôn hả (anh->*)
1686106380.8691243_21211-21211:	đúng rồi (vâng->vẫn) thẻ bảo hiểm y tế của anh (hôm->không) mùng năm tháng (sáu->*) em thấy mình thanh toán chưa thành công không biết anh đang vướng ở đâu bên em sẽ hỗ trợ (ạ->*)
1686110994.8704994-split_v1-0-364490_6171-6171:	(thế là->bây giờ) em em hoàn (giả shop nhá->thiện trả<unk)
1686125119.8723364-split_v1-502400-1014410_2257-2257:	hai hai này văn (quán->quá) à
1686133840.8744094-split_v1-0-496010_16255-16255:	chưa thấy (nổ chị ạ->đổi thì) chắc một tí (rồi->*) có
1686133840.8744094-split_v1-0-496010_16257-16257:	đây (đây->*) em kiểm tra
1686135868.8746312_19052-19052:	a lô ạ
1686186336.8751304_26844-26844:	(nhầm nhầm->trăm năm) số (rồi->*) nhá
1686196025.8771991_26172-26172:	mình tên linh rồi em cảm ơn anh nhá (em->anh) chuyển (hoàn->vào) luôn nhá
1686196099.8772207-split_v1-0-636810_4744-4744:	chị ơi em bảo có một cái có cái đơn (hàng->*)
1686210817.8789867-split_v1-521600-996810_1442-1442:	(rồi->*) ok (em->*)
1686210817.8789867-split_v1-521600-996810_1445-1445:	(vâng->vầng) chào chị
1686210820.8789876-split_v1-0-480010_9257-9257:	cái đơn này anh tức là quay lại xong rồi gọi lại cho shop giúp em để (để->*) shop liên hệ để giảm tiền phát cho khách giúp em với nhá
1686210820.8789876-split_v1-1184000-1555210_9266-9266:	(để để->*) vầng thì (thì->*) lúc nào (mà->*) anh đến khách đến (lấy->đấy) cái đơn kia thì xong anh gọi lại cho (shop->suốt) để phát lại cái đơn này giúp em nhá
1686275766.8818560_21696-21696:	đúng rồi (ạ->*) thẻ bảo hiểm y tế của mình (em->nên) thấy là mình đóng rồi nên mình yên tâm sử dụng tiếp giúp em nhá
1686278910.8826755_28285-28285:	(trong->*) giờ (hành chính ạ->ừ)
1686279465.8828516_22418-22418:	(bây->*) thế bây giờ (bây giờ->mình giỏ nó ra) có được không bây giờ không có người mang vào thế thì mai cái tầm này nhá (mình hẹn->với lại) hơn tí nhá
1686280547.8832277-split_v1-1660800-2100490_227-227:	mình có ở nhưng mà mình đang đi làm trong công ty
1686280547.8832277-split_v1-544000-1116810_213-213:	cây cây cây (cây đa thôn đạc tài->đai)
1686282125.8837989-split_v1-0-483210_7104-7104:	(dạ dạ->rồi) em ở bưu điện hà đông mình có một cái hàng của một (chị->trị) tên là lê thị giang ở thanh hóa gửi cho ý (dạ dạ->*) về địa chỉ khu phố hai là ở đâu đấy anh
1686295813.8853266-split_v1-0-453450_14717-14717:	(anh->nguyễn) thanh toán (từ->thì) cách đây mười ngày (rồi thế à mình->đấy là mới) thanh toán trước (à tại vì->ở việc) của anh (đến mùng->đấy mua) hai (*->hàng) tháng sáu mới hết hạn mà (vâng->*) thế (em cảm ơn->anh cắm) ạ em chào anh (đạo->đào) ạ
1686297506.8856806-split_v1-563200-1110410_10039-10039:	đấy ở ngay cạnh nhà nghỉ (thanh->xanh hạ) cạnh dưới nhà nghỉ (thanh nhá chỗ->xanh) giữa chỗ tầm quất với (nhà nghỉ thanh->nha gửi xanh) nhá (cạnh nhà nghỉ thanh->các anh nha anh) chị (từ->oát tơ) đây em (đi lên->*) là (tay->tai) trái (hay->*) tay phải hả chị
1686297986.8857933-split_v1-598400-1235210_11449-11449:	nhưng mà bây giờ em (đang không cầm với cả->phảiác lên tổng bưu) em không nhớ
1686298388.8859045-split_v1-0-496010_16057-16057:	(*->cái) đơn này để em xem anh có thu phí (hủy đơn không->gì đâu lưu) nếu thu phí (hủy->ở) đơn là thu được (ngay nhưng->anh thế) còn nếu anh không mà nó sai (màu này->mà lại) thì người ta sẽ không (giả->dám) ship đâu
1686298388.8859045-split_v1-496000-979210_16069-16069:	(à bên bưu điện cơ à->nhận được)
1686299000.8861257_25424-25424:	một (tám->trăm) tám một tám tám
1686363813.8891827-split_v1-0-588810_10570-10570:	a lô ạ chị ơi bưu cục phát đúng không ạ đúng rồi chị hỗ trợ giúp em đơn này (*->ra) giao phát lại cho khách ngày mai giúp em với đọc mã ạ xê (xê->tê) năm bốn tám
1686364732.8893763-split_v1-2374400-2829450_11651-11651:	em ơi em kiểm tra cho chị cái thẻ bảo hiểm của nguyễn văn (lượng xem đến hôm->phượng trên đấy thu) nào là hết hạn em đọc cho em mã số bảo hiểm em kiểm tra được (ạ->*)
1686366105.8897484-split_v1-1027200-1397130_4787-4787:	rồi cảm ơn (anh->em) nhá
1686366701.8899169_27454-27454:	em có văn phòng ở đây rồi bây giờ nhận thư ở đây đúng không ạ vầng (rồi rồi->*) ngách mười tám trên một (*->ờ) nguyễn (cơ->cư) thạch (thì rồi để->bà) bao (bao->*) giờ chị giao (được->rồi) nhở
1686367884.8902760-split_v1-0-617610_13522-13522:	đúng rồi bạn vâng em ở bên bưu điện mình em thấy có báo thu gom hồ sơ bảo hiểm mà từ tận mười (bảy->bẩy) tháng năm ý chị còn cái hồ sơ nào lâu như thế không ạ
1686368988.8905764_24030-24030:	cái (đứa->đường) đấy nó bảo với em là cái anh kia cứ chửi nó nên là bố nó không cho nhận bây giờ nó đang bị vướng (lịch học->với nhà hàng) có gì chị bảo (khâu giữ hàng->kho hoài) cho (nó->đơn) đến (chủ->chính) chủ nhật (được->*) không chị
1686369443.8907056-split_v1-0-394250_12460-12460:	(*->mình) nguyễn thị thùy linh (đúng không ạ em em->*) bưu điện chị có (đưa->*) cái thư cổ đông của tập đoàn lại dương gửi (chị có nhận thư->*) này không ạ
1686370188.8908665-split_v1-1024000-1507210_5094-5094:	thì đi (thẳng vào->học ở) trong thì trong (cái bãi->số máy) vật liệu (ấy cậu biết bãi vật liệu->đấy có bưu) không (chỗ đường->đồng) của việt (anh gớm em->nam) không đi phát chị ơi em không đi phát chị ơi bởi vì cái địa chỉ này về bưu điện hoài đức nhà em toàn ghi mỗi hoài đức không
1686388296.8929976-split_v1-0-576010_15881-15881:	(dạ->*) a lô
1686391658.8935830-split_v1-0-566410_10903-10903:	em ở bưu điện hà nội có cái (cái->*) bản (*->chính) khai sinh bản sao (bản->bạn) gốc (gì->vì) giấy khai sinh mà chị gửi cho vũ ngọc lan ý
1686537881.8964824_20700-20700:	(người ta->*) không nhận nữa thôi ạ chị cho thông tin giùm em với
1686539059.8968125-split_v1-0-537610_713-713:	nhưng mà (bao giờ em ship vào->bác sĩ sh bật) cho chị
1686539543.8969406_27549-27549:	chín ba sáu chín ba sáu chín một hai nguyễn thị (nguyệt->nguyễn)
1686553711.8987549-split_v1-1113600-1737610_14093-14093:	từ hôm đấy (đến->*) giờ gần chục ngày (giời có->rồi) thấy (ý ới->*) gì đâu
1686556527.8993786_24739-24739:	dạ có chị
1686559184.9002604_25444-25444:	không phải vì cái thẻ này là không để ở (cổng bảo vệ->cầu mà về) được
1686561652.9010968-split_v1-0-563210_16773-16773:	(à vâng->vầng) nghĩa là mình (ơ->ở) phường trung (hoà->hòa) hay là mình ở đường trung (hoà->hòa) luôn hả anh
1686569677.9025613-split_v1-0-489610_1751-1751:	a lô
1686627855.9052489_25947-25947:	(phong nào nhở->không là nhờ) tại vì chị làm gì có (bảo vệ phong->bảy không) bảo vệ (phòng->không) à
1686631041.9060591-split_v1-0-547210_17056-17056:	(e->ắc) quy này sáu một một này
1686646661.9094376-split_v1-483200-998410_769-769:	hôm đấy em tưởng là em (đưa căn cước cho ông->bưu sơn xong) anh (ấy phát rồi ý nhưng mà anh ấy lại->lúc nãy) không chắc là nhiều việc quá (anh->em) không đính kèm ở trên hệ thống (anh đọc lại->xem là gọi) giúp em với (ạ->*) không ba sáu gì (nữa->*) ạ (hai không->cái số) một không
1686653049.9109380-split_v1-1593600-2108810_5763-5763:	(vâng->vầng) cũng được chị ơi
1686705915.9115972_21664-21664:	a lô (a lô->*)
1686713198.9135228_21463-21463:	(a lô->*) dạ đây có phải số máy của người nhận là (thi mén không->shom) ạ
1686714168.9138400-split_v1-2041600-2684810_1572-1572:	(nó đưa->*) mẹ đi mà
1686714168.9138400-split_v1-995200-1545610_1551-1551:	(à->*) thế à
1686727072.9156475_21196-21196:	gì đấy a lô em chào chị em (em->bên) bưu điện hà nội ạ thẻ bảo hiểm y tế của chị hiền ý thì của mình đã đến hạn để đóng tiếp em thấy mình đã đóng ở trên chương trình rồi đúng (hông->không)
1686730511.9169192-split_v1-0-572810_7312-7312:	(em->*) chào (anh->*) em bên (bưu điện hà nội->em) phạm (như hiền có phải->bưu) của nhà mình (mình->*) đúng không ạ
1686732862.9178768_29084-29084:	hai mươi tháng tư rồi (*->ạ) hai mươi tháng năm rồi mà
1686733165.9179772-split_v1-1283200-1808010_3521-3521:	không có đâu chị hoặc là mình đã quên ghi ạ
1686733165.9179772-split_v1-1808000-2832010_3524-3524:	(như->*) yêu cầu của người ta người ta đang yêu cầu là gửi cho họ cái cái (cái->*) phiếu (ký->*)
1686733351.9180386-split_v1-620800-1008010_5995-5995:	không cần nữa à hai trăm mười chín (trung kính->*) vừa viết xong bảo yên hòa (cầu giấy ra lấy thì lại bảo hủy à->cuộc thanh thủy ạ)
1686734475.9183706-split_v1-0-480010_15699-15699:	(tân đức à->tin tức)
1686734886.9184555_20072-20072:	a lô vâng đợi em (tý a lô->đi)
1686795368.9205256-split_v1-489600-1017610_11215-11215:	(nghĩa->thế) là hôm qua em có nhắn tin thì ông (ý->*) bảo là (nghĩa->miễn) là ví dụ vào cái giờ (họp ý->đi) thì họ lại không không (không->*) nghe được (ý->gì)
1686795500.9205591_22652-22652:	(thì->thế) lúc nào anh về anh qua chỗ bưu điện khánh bình nhận giúp em nhá
1686801414.9223830_19362-19362:	hôm nay bên (chỗ kia bơm->cháu đưa) bảo bưu cục (giữ lại->thế này) đến ngày hai hai đấy
1686812347.9234279-split_v1-566400-1100810_7749-7749:	số hiệu (đây->đấy) nhá (vầng số hiệu hay->chị có) số điện thoại số hiệu ạ (cs->vê ép) hai tám sáu tám bốn chín năm chín sáu
1686816278.9244771-split_v1-0-601610_12670-12670:	cái này thì mình vừa gọi cho bạn ý thì bạn (ấy->*) bảo là giờ (hành->*) chính là bạn đi làm mà giờ ngoài giờ hành chính (thì->vì) bạn nhận được thế nhưng mà bưu tá thì đi phát đến mười hai giờ hơn người ta gọi lại thì vẫn lại bảo là đi ngủ không nhận được hàng (*->thế) thực ra là bạn bảo là mười một giờ thì có thể là bưu (giá->tá) người ta đang phát (ở->là) địa chỉ khác (*->là) người ta không qua được đấy thì bây giờ nó quá giờ (đấy->đến) ở nhà cũng không phát được cũng không nhận được (như->*) này (là bọn->*) mình khó (phát->khăn) cái đơn hàng này lắm (nên->*) bạn thử hỗ trợ (xem->cho em) giúp mình xem giải quyết kiểu gì được
1686816867.9247199-split_v1-547200-1132810_10047-10047:	thì (thì->*) thực ra mình (sẽ->phải) cho bạn kia cái bạn bạn thanh (đó->nó) số điện thoại của bạn sau đó là bạn (thanh sẽ gọi trực tiếp->thấy thầy coiforýp) cho bạn
1686817511.9249676_24640-24640:	vầng thế em lưu (chị->thị) mấy hôm nhá
1686820748.9261673_24694-24694:	chín sáu tám một hai sáu
1686822567.9266907_17942-17942:	mình có phải ở đường cổ (nhuế->nhuyễu) không (cô->*) nhở
1686826957.9271554_28481-28481:	(ở->*) xã nào (chương->chứ) mỹ (đấy->*) ạ
1686831744.9273499-split_v1-480000-1036810_16428-16428:	gọi cho anh (*->gọi cho anh) bảo là là (là->*) anh đang ở quê (sao->xong) lại (bảo là->*) nếu mà đến thứ bảy chủ nhật (mà->*) cách tuần trước ấy tuần trước nữa (ấy chứ không phải->đúng rồi) tuần vừa rồi (đây sao mà->xong bạn) nếu mà anh (*->phải) không (lấy->ở) thì em hủy đơn hàng (nhé->nhá)
1686874541.9274375_23484-23484:	bốn mươi (a->ba) nhân (mỹ em ơi->bị) bốn mươi hai nhân mỹ (à->ạ) bốn mươi (a nhân mỹ->hai lê) bốn mươi a nhân mỹ (à->hả) anh ở mặt đường luôn à (*->ừ) đúng rồi em có gì để ý (điện thoại->tòa) nhận hàng giúp em nhá
1686884797.9290058-split_v1-2102400-2627210_3296-3296:	cái đơn hàng quan trọng của em (ấy nên->đấy) là em gọi gọi (gọi->*) suốt luôn từ hôm qua đến giờ luôn
1686886352.9294359_17807-17807:	a lô em chào anh (em->*) bên bưu điện hà nội nguyễn trung thu có (phải->về) của nhà mình đúng không ạ vâng đúng rồi ạ (em ở->*) bên bưu điện hà nội (hôm mùng->không một) năm (tháng->là) sáu bưu điện hà nội nhắn tin thanh toán online không biết mình có nhận được tin nhắn đó không
1686886684.9295358-split_v1-0-665930_1071-1071:	a lô ạ
1686887176.9296941_23326-23326:	(vâng vâng->vầng vầng) để em (hoàn nhá->hỏi)
1686901636.9314289_19721-19721:	(pê a->xe) bốn không hai
1686906129.9326962_22412-22412:	rồi (ô kê ạ rồi rồi->ok)
1686906843.9329337-split_v1-0-585610_11099-11099:	cho (khách xem hàng đi->em hỏi) chị (dạ->vâng)
1686907249.9330520-split_v1-0-550410_16995-16995:	(nhưng->*) em có ở (mỹ trì->vĩnh) đâu ạ
1686971090.9357569_22592-22592:	a lô (a lô->*)
1686986406.9373051_27982-27982:	(alo->a lô)
1686987570.9374710-split_v1-614400-1145610_17662-17662:	có phải là mình ở chỗ bình định đúng không ạ
1687156314.9443941-split_v1-0-556810_1639-1639:	đơn hàng gì em nhở
1687165712.9478042-split_v1-0-505610_7088-7088:	dạ em có ạ vầng chị đọc địa chỉ mới (đấy->đi) giúp em được không thôn đồng vang
1687165774.9478201-split_v1-489600-1040010_5597-5597:	(bảy mươi->đấy mười) ba (la->*) có phải có cái kho (ở dưới dưới->gì) đường sắt (đấy không->điêu)
1687165774.9478201-split_v1-489600-1040010_5598-5598:	(bảo->áo này) đến sớm (đi đến->*) tám giờ đến đi để (tao->ta) còn đi chứ (phải ở->*) nhà đợi (thuốc đâu->*)
1687168050.9484903_25155-25155:	(mình->*) bán hàng (*->có) ngay (chỗ cửa kính đức tuyên bán hoa->có ký được tiền bảo) quả đấy nhưng mà đấy là áo của (nam hay->lam) của nữ (đấy->*)
1687168615.9486222_24448-24448:	em thấy có mã (chuyển về->thẻ) rồi mà chị nhở (*->chị nhở)
1687225092.9499509-split_v1-1584000-2112010_16594-16594:	(ý là->*) em đang (có nói là->*) không em (em->*) kêu là đơn (hoàn đi chừ chật quá cô không lấy->hàng đây kêu chắt có hôm lái) mà
1687228897.9507688-split_v1-0-560010_15475-15475:	(vietjet à->ghép)
1687231093.9513904_20907-20907:	em lưu (*->cho) chị đến hai lăm nhá rồi (->*) ok
1687231715.9516467-split_v1-508800-903690_3390-3390:	(ừ ừ->*)
1687233181.9522640_23964-23964:	vầng em cảm ơn chị ạ vầng dạ vâng ạ cảm ơn anh (*->chào anh)
1687245465.9537778_27366-27366:	(alo->a lô)
1687250125.9555997-split_v1-496000-1027210_8409-8409:	(ấp->*) bốn rồi ạ (xã tam hòa xã gì anh xã->dạ tầm ok anh dạ vầng dạ) tam hòa
1687260052.9580279_21616-21616:	a lô
1687316642.9601350-split_v1-0-572810_7869-7869:	em là sáu ba trên bảy (lăm->năm) lê (đức->thị) thọ ý (gì bộ->*) số nhà bốn mốt sáu ba trên bảy (lăm lê đức thọ->năm lên)
1687321354.9616368-split_v1-499200-653450_7669-7669:	(chưa->*)
1687321763.9617246-split_v1-0-287370_2492-2492:	(*->phải) có gì em lưu cho anh năm ngày (anh->*) liên hệ lại (người->với) nhận nhá
1687339037.9654883-split_v1-1577600-1966730_14503-14503:	sáu chín sáu bẩy
1687347696.9668793-split_v1-0-508810_11851-11851:	(ok ok mai mai mai->số điện thoại mà)
1687395643.9671908_20540-20540:	a lô (a lô->*) ạ mình có (phải bùi văn sinh->bưu pháting) không ạ
1687396786.9672482-split_v1-0-547210_6744-6744:	(a lô->mẹ đi mà)
1687398730.9675230-split_v1-729600-1149130_14476-14476:	(gọi->ngoại) người gửi (nó bảo->báo) sao
1687399794.9677469-split_v1-0-595210_9455-9455:	(ơ->*) nhưng mà tức là thẻ bảo hiểm y tế (*->đấy) thanh toán online (là như nào->này hả) chị em chưa (hiểu->nhở)
1687400748.9679977_21729-21729:	đợt đầu bọn em chưa có cập nhật ý thì bưu tá họ (họ->*) ghi là ở (ở->*) mặt trước (ấy rồi->ý) thì (lần sau vậy chứ trừ lỡ ghi rồi thôi rồi lỡ ghi rồi->là sao chị sẽ chừng) mình tên gì anh nhở (thông thông->không) thế em cứ lưu (bảy->bẩy) ngày (ở->mà) kho (nhá->nhớ) hay (lưu mấy ngày anh->linh mười nghìn) nhở (dạ dạ rồi bảy ngày chị anh->bạn) thông đúng không (dạ dạ vầng lưu->như) bảy (ngày nhá->này) anh (thông nhá->*)
1687402772.9686534-split_v1-0-592010_15559-15559:	(*->lại) không bảy bốn ạ
1687402772.9686534-split_v1-0-592010_15566-15566:	một không bốn
1687407570.9703224-split_v1-636800-1090250_10743-10743:	thế em nhận ở đấy đúng không
1687409083.9706516_25966-25966:	a lô
1687417240.9710775_27448-27448:	bây giờ mình (chuẩn bị->*) làm (kí hợp đồng lao->tiếp tục nó) động (với->ở) bên ngân hàng (quốc tế vib nên->phúc cái vp) là mình không đóng nữa tại vì mình (chuẩn bị->chưa thấy) được đóng (bảo hiểm xã hội rồi dạ vâng em cảm ơn->sau hỗ trợ)
1687418245.9712537_27963-27963:	(dạ không->có) phải đâu hôm qua nó bị (sót mất->xót lắm) một cái thư của em (đấy->ấy) thế bây giờ từ từ (từ->*) chiều hôm nay không (*->được) sáng chiều hôm qua em không đóng đi sáng nay em đóng đi chị thấy đang nằm (im->*) ở đấy thế bây giờ chiều hôm nay (chị ơi->*) của em của em ở đây (tuyến->từ) xã chỉ có một chuyến tối thôi chị ạ
1687419394.9714866_18294-18294:	hỗ trợ ba mươi nghìn rồi ạ
1687419414.9714918-split_v1-569600-997770_505-505:	không (viết thường->biết thì hoàng) hết chăm sóc khách hàng hát nờ a còng hai không hai ba
1687425369.9737319-split_v1-1680000-1897290_9589-9589:	rồi thế thì mai anh (ơi->*) để em báo bưu tá mai đến phát (lại->ngày) hàng cho anh nhá
1687427010.9741721_20163-20163:	em có một đơn hàng một trăm tám (tám->*) nghìn (em->ừm) báo là chuyển về cam thượng (ba vì->bao v gì) cho chị lại địa chỉ để chị chuyển tiếp cho em nghe được không
1687431535.9748263-split_v1-489600-972810_8637-8637:	nhưng mà vấn đề (chiều hôm qua em->gì ông quang) gọi cho anh anh không nghe thế nên (là->*) không phát được
1687431694.9748323-split_v1-0-489610_17318-17318:	(*->thì) mai có nhà không (*->thì) em để để em (bảo->hỏi) bưu tá phát cho ạ
1687432223.9748796-split_v1-0-521610_5250-5250:	tám bảy tám bảy
1687484854.9754679-split_v1-1072000-1264010_17597-17597:	rồi (rồi rồi chị->ý) nãy chị mới nhắn bên công ty nói (huỷ->hủy hết) đơn (*->rồi) chị đặt (số->thuốc) khác (*->rồi)
1687487138.9759434-split_v1-0-556810_7230-7230:	a lô vâng đơn (kia->*) em bảo hoàn từ hai mươi (để->*) người ta em điện cho người ta người ta bảo hoàn từ (*->hà) hai mốt hai mươi hoàn (rồi->*)
1687487393.9760197-split_v1-1139200-1657610_11514-11514:	(đáng->báo) ra (là->vào) ngày hôm qua (là->ạ) không không liên lạc được phải gọi lại cho mình luôn ý tại vì hôm qua người ta có (ở->*) đấy hôm nay (thì->chị) sợ người ta không có đấy nữa (thôi->*) cứ gọi cho mình đi
1687488321.9762459-split_v1-505600-1061450_8980-8980:	gọi lại số này cho mình luôn (đúng->số) không (ạ dạ->gọi) vầng
1687489062.9764230_28733-28733:	một (hai->*) một ạ (vầng->*)
1687493937.9778020-split_v1-0-502410_8828-8828:	(ôi->*) em lại (ở đang->đấy ra) ở trên hà nội cơ em không có nhà (thế->*) chị cứ để đấy
1687494345.9778705-split_v1-489600-1001610_13699-13699:	cho em số (khách không tám chín->khanh) sáu
1687495901.9780955-split_v1-1584000-1839690_11748-11748:	vầng thế thì (đến->*) đấy thì ai chuyển khoản cho em ạ
1687495901.9780955-split_v1-537600-1081610_6770-6770:	anh (đang->đã) đi vắng (xa->ta)
1687503345.9783778-split_v1-0-489610_13776-13776:	dạ em nghe (đây->*) em ơi em đang trả lời chị là bưu điện trung tâm một không phải đầu mối (ký->tình) hợp đồng với khách hàng này là như nào chị chưa hiểu lắm vầng
1687504930.9786566-split_v1-569600-1091210_2212-2212:	bùi thị mai (chứ->ý) gì
1687505175.9787150-split_v1-0-360970_16892-16892:	bưu điện báo đơn hàng (ạ->*)
